prime_mover	fuel	prime_mover_text	fuel_text	overnight_category old	overnight_category updated
ST	WD	Steam Turbine (Boiler)	wood and wood waste	biomass	biomass
ST	REF	Steam Turbine (Boiler)	refuse bagasse and all other nonwood waste	biomass	biomass
IC	REF	Internal Combustion	refuse bagasse and all other nonwood waste	biomass	biomass
AB	WD	Atmospheric Fluidized Bed	wood and wood waste	biomass	biomass
CH	WD	Steam Turbine	wood and wood waste	biomass	biomass
OT	REF	Other (Explained in Notes)	refuse bagasse and all other nonwood waste	biomass	biomass
ST	WDS	Steam Turbine (Boiler)	wood and wood waste solids	biomass	biomass
ST	AB	Steam Turbine (Boiler)	Agriculture crop byproducts straw energy crops	biomass	biomass
OT	WDS	Other (Explained in Notes)	wood and wood waste solids	biomass	biomass
ST	OBS	Steam Turbine (Boiler)	other biomass solids	biomass	biomass
ST	BIT	Steam Turbine (Boiler)	bituminous coal	coal	coal
ST	SUB	Steam Turbine (Boiler)	subbituminous coal	coal	coal
ST	LIG	Steam Turbine (Boiler)	lignite	coal	coal
ST	PC	Steam Turbine (Boiler)	petroleum coke	coal	coal
ST	ANT	Steam Turbine (Boiler)	Anthracite	coal	coal
AB	BIT	Atmospheric Fluidized Bed	bituminous coal	coal	coal
AB	LIG	Atmospheric Fluidized Bed	lignite	coal	coal
ST	COL	Steam Turbine (Boiler)	coal generic	coal	coal
CH	BIT	Steam Turbine	bituminous coal	coal	coal
AB	WC	Atmospheric Fluidized Bed	waste coal	coal	coal
AB	SUB	Atmospheric Fluidized Bed	subbituminous coal	coal	coal
CH	SUB	Steam Turbine	subbituminous coal	coal	coal
CH	ANT	Steam Turbine	Anthracite	coal	coal
CH	WC	Steam Turbine	waste coal	coal	coal
ST	TDF	Steam Turbine (Boiler)	tires	coal	coal
ST	WC	Steam Turbine (Boiler)	waste coal	coal	coal
GT	PC	Combustion (gas) Turbine	petroleum coke	coal	coal
OT	PC	Other (Explained in Notes)	petroleum coke	coal	coal
OT	SUB	Other (Explained in Notes)	subbituminous coal	coal	coal
ST	RC	Steam Turbine (Boiler)	refined coal	coal	coal
CT	NG	Combined Cycle Combustion Turbine Part	natural gas	conventional combined cycle	conventional combined cycle
CW	WH	Combined Cycle Steam Turbine Part (Waste Heat Boiler Only)	waste heat	conventional combined cycle	conventional combined cycle
CA	NG	Combined Cycle Steam Turbine with Supplemental Firing	natural gas	conventional combined cycle	conventional combined cycle
CS	NG	Combined Cycle Single Shaft (gas turbine and steam turbine share a single generator)	natural gas	conventional combined cycle	conventional combined cycle
CT	FO2	Combined Cycle Combustion Turbine Part	no 2 fuel oil	conventional combined cycle	conventional combined cycle
CT	SNG	Combined Cycle Combustion Turbine Part	synthetic natural gas	conventional combined cycle	conventional combined cycle
CA	WH	Combined Cycle Steam Turbine with Supplemental Firing	waste heat	conventional combined cycle	conventional combined cycle
CA	FO2	Combined Cycle Steam Turbine with Supplemental Firing	no 2 fuel oil	conventional combined cycle	conventional combined cycle
CT	WH	Combined Cycle Combustion Turbine Part	waste heat	conventional combined cycle	conventional combined cycle
CT		Combined Cycle Combustion Turbine Part	NA	conventional combined cycle	conventional combined cycle
CW		Combined Cycle Steam Turbine Part (Waste Heat Boiler Only)	NA	conventional combined cycle	conventional combined cycle
CW	NG	Combined Cycle Steam Turbine Part (Waste Heat Boiler Only)	natural gas	conventional combined cycle	conventional combined cycle
CS		Combined Cycle Single Shaft (gas turbine and steam turbine share a single generator)	NA	conventional combined cycle	conventional combined cycle
CW	FO2	Combined Cycle Steam Turbine Part (Waste Heat Boiler Only)	no 2 fuel oil	conventional combined cycle	conventional combined cycle
CW	SNG	Combined Cycle Steam Turbine Part (Waste Heat Boiler Only)	synthetic natural gas	conventional combined cycle	conventional combined cycle
CA	BIT	Combined Cycle Steam Turbine with Supplemental Firing	bituminous coal	conventional combined cycle	conventional combined cycle
CA		Combined Cycle Steam Turbine with Supplemental Firing	NA	conventional combined cycle	conventional combined cycle
CA	FO6	Combined Cycle Steam Turbine with Supplemental Firing	no 6 fuel oil	conventional combined cycle	conventional combined cycle
CC	NG	Combine Cycle - Total Unit	natural gas	conventional combined cycle	conventional combined cycle
CA	RFO	Combined Cycle Steam Turbine with Supplemental Firing	residual fuel oil	conventional combined cycle	conventional combined cycle
CT	DFO	Combined Cycle Combustion Turbine Part	distillate fuel oil	conventional combined cycle	conventional combined cycle
CA	SNG	Combined Cycle Steam Turbine with Supplemental Firing	synthetic natural gas	conventional combined cycle	conventional combined cycle
CA	DFO	Combined Cycle Steam Turbine with Supplemental Firing	distillate fuel oil	conventional combined cycle	conventional combined cycle
CT	BIT	Combined Cycle Combustion Turbine Part	bituminous coal	conventional combined cycle	conventional combined cycle
CC	BIT	Combine Cycle - Total Unit	bituminous coal	conventional combined cycle	conventional combined cycle
CS	DFO	Combined Cycle Single Shaft (gas turbine and steam turbine share a single generator)	distillate fuel oil	conventional combined cycle	conventional combined cycle
CT	OG	Combined Cycle Combustion Turbine Part	other gas	conventional combined cycle	conventional combined cycle
CA	OG	Combined Cycle Steam Turbine with Supplemental Firing	other gas	conventional combined cycle	conventional combined cycle
CT	WO	Combined Cycle Combustion Turbine Part	oil-other and waste oil	conventional combined cycle	conventional combined cycle
CT	RFO	Combined Cycle Combustion Turbine Part	residual fuel oil	conventional combined cycle	conventional combined cycle
CT	OBG	Combined Cycle Combustion Turbine Part	other biomass gases	conventional combined cycle	conventional combined cycle
CT	LFG	Combined Cycle Combustion Turbine Part	landfill gas	conventional combined cycle	conventional combined cycle
CA	PUR	Combined Cycle Steam Turbine with Supplemental Firing	purchased steam	conventional combined cycle	conventional combined cycle
CA	LFG	Combined Cycle Steam Turbine with Supplemental Firing	landfill gas	conventional combined cycle	conventional combined cycle
CA	WO	Combined Cycle Steam Turbine with Supplemental Firing	oil-other and waste oil	conventional combined cycle	conventional combined cycle
CA	WDS	Combined Cycle Steam Turbine with Supplemental Firing	wood and wood waste solids	conventional combined cycle	conventional combined cycle
CA	OBG	Combined Cycle Steam Turbine with Supplemental Firing	other biomass gases	conventional combined cycle	conventional combined cycle
