"year"	"weighted.avg.price.nominal"	"weighted.avg.u.s.producers"	"weighted.avg.u.s.brokers.traders"	"weighted.avg.civilian.power.reactors"	"weighted.avg.foreign"	"weighted.avg.u.s.origin"	"weighted.avg.foreign.origin"	"weighted.avg.spot"	"weighted.avg.contracts"
1994	10.4	13.72	9.34	8.04	10.43	12.08	9.97	9.01	NA
1995	11.25	14.84	9.83	12.52	11.4	14.2	10.84	10.3	NA
1996	14.12	14.2	13.36	14.98	14.45	14.62	14.02	14.22	NA
1997	12.88	13.6	12.31	NA	12.91	13.36	12.78	11.61	NA
1998	12.14	13.61	11.95	NA	11.97	13.37	11.9	10.56	NA
1999	11.63	13.93	11.54	NA	11.47	12.24	11.47	9.52	NA
2000	11.04	14.81	11.28	10.45	10.65	11.52	10.88	8.54	11.7
2001	10.15	13.26	10.44	9.98	9.86	10.5	10.05	7.92	10.96
2002	10.36	13.03	10.21	NA	10.37	10.89	10.29	9.29	10.58
2003	10.81	14.17	11.05	10.16	10.82	10.81	10.81	10.1	10.94
2004	12.61	NA	12.08	11.3	13.15	11.87	12.76	14.77	12.24
2005	14.36	NA	13.76	NA	14.7	15.11	14.21	20.04	13.7
2006	18.61	NA	20.49	NA	18.62	17.85	18.75	39.48	16.38
2007	32.78	NA	34.1	NA	32.36	28.89	33.05	88.25	24.45
2008	45.88	75.16	39.62	NA	48.49	59.55	43.47	66.95	41.59
2009	45.86	NA	41.88	NA	46.68	48.92	45.35	46.45	45.74
2010	49.29	47.13	44.98	42.24	51.3	45.25	49.64	43.99	50.43
2011	55.64	58.12	53.29	52.5	56.6	52.12	55.98	54.69	55.9
2012	54.99	NA	54.44	NA	54.4	59.44	54.07	51.04	55.65
2013	51.99	NA	50.44	NA	51.93	56.37	51.13	43.83	54
2014	46.16	NA	42.9	NA	47.62	48.11	46.03	36.64	49.73
2015	44.13	52.35	44.67	31.31	44.66	43.86	44.14	36.8	46.04
