fuel	fuel_text	fuel_general.old	fuel_general	comments	
AB	Agriculture crop byproducts straw  energy crops	biomass	biomass		
ANT	Anthracite	coal	coal		
BFG	blast furnace gas	NA	NA	# unassigned	
BIO	biomass generic	biomass	biomass	# unused	
BIT	bituminous coal	coal	coal		
BLQ	black liquor	black liquor	NA	# unassigned	
COG	coke oven gas	NA	NA	# unused	
COL	coal generic	coal	coal		
COM	coal oil mixture	oil	NA	# unused	
CRU	crude oil	oil	oil	# a few generators in 93 with small capacity and no heatrate	
CWM	coal water mixture	coal	NA	# unused	
DFO	distillate fuel oil	oil	oil		
FO1	no 1 fuel oil	oil	oil		
FO2	no 2 fuel oil	oil	oil		
FO3	no 3 fuel oil	oil	NA	# unused	
FO4	no 4 fuel oil	oil	oil		
FO5	no 5 fuel oil	oil	oil		
FO6	no 6 fuel oil	oil	oil		
GAS	gas generic	natural gas	natural gas	# a few generators in 93 with small capacity and no heatrate	
GEO	geothermal	geothermal	geothermal		
GST	geothermal steam	geothermal	geothermal		
JF	jet fuel	kerosene	oil	# technically included in oil after 1995	
KER	kerosene	kerosene	oil	# technically included in oil after 1995	
LFG	landfill gas	natural gas	natural gas		
LIG	lignite	coal	coal		
LNG	liquified natural gas	lng	NA	# unused	
LPG	liquified propane gas	lpg	NA	# few generators	 no price
MF	multifueled	NA	NA	# unassigned	
MSW	municipal solid waste	msw	NA	# unassigned	
MTE	methane	natural gas	natural gas		
MTH	methanol	NA	NA	# unused	
MWH	megawatt hour	MWh	NA	# unassigned	
NA	NA 	NA	NA		
NG	natural gas	natural gas	natural gas		
NUC	nuclear	uranium	uranium		
OBG	other biomass gases	natural gas	natural gas		
OBL	other biomass liquids	oil	oil		
OBS	other biomass solids	biomass	biomass		
OG	other gas	NA	NA		
OO	not defined	NA	NA	# huge jump in campacity 00-01	
OT	other	NA	NA		
OTH	other	NA	NA		
PC	petroleum coke	coal	coal	# separate category after 1995	
PET	petroleum generic	oil	oil	# many generators in 93 with small capacity and no heatrate	
PG	propane	propane	NA	# few generators	 no price
PL	plutonium	uranium	NA	# unused	
PRO	propane	propane	NA	# unused	
PUR	purchased steam	NA	NA		
RC	refined coal	coal	coal		
REF	refuse bagasse and all other nonwood waste	biomass	biomass		
RFO	residual fuel oil	oil	oil		
RG	refinery gas	NA	NA	# unassigned	
RRO	re refined motor oil	oil	NA	# unused	
SC	coal synfuel	coal	coal		
SG	synthetic gas other than coal derived	natural gas	natural gas		
SGC	coal-derived synthetic gas	natural gas	natural gas		
SGP	synthetic gas from petroleum coke	natural gas	natural gas		
SLW	sludge waste	NA	NA	# unassigned	
SO	Solar – thermal		solar	# added from generation/consumption forms	
SP	Solar – photovoltaic		solar	# added from generation/consumption forms	
SNG	synthetic natural gas	natural gas	natural gas		
STM	steam	NA	NA	# unassigned	
SU	not defined	NA	NA	# unused. Possibly SUB/SUN?	
SUB	subbituminous coal	coal	coal		
SUN	sun	solar	solar		
TDF	tires	NA	NA	# unassigned	
TH	thorium	uranium	NA	# unused	
TOP	topped crude oil	oil	NA	# unused	
UNK	not defined	NA	NA	# many generators in 93 with small capacity and no heatrate	
UR	uranium	uranium	uranium		
WAS	waste		NA	# added from generation/consumption forms	
WAT	water	water	water		
WC	waste coal	coal	coal		
WOD	wood  		wood	# added from generation/consumption forms	
WD	wood and wood waste	biomass	biomass		
WDL	wood waste liquids	biomass	biomass		
WDS	wood and wood waste solids	biomass	biomass		
WH	waste heat	NA	NA	# unassigned	
WI	wind		wind	# added from generation/consumption forms	
WND	wind	wind	wind		
WO	oil-other and waste oil	oil	oil		
WOC	not defined	NA	NA	# a few generators in 00-01 with wide range of capacities	
