primemover,fuel,fuel.general,tech
BT,WH,, (binary)
CW,WH,, (cc)
CA,WH,, (cc)
CT,WH,, (cc)
CA,OG,, (cc)
CA,PUR,, (cc)
CA,OTH,, (cc)
CT,OG,, (cc)
IC,OT,, (ct)
GT,WH,, (ct)
GT,LPG,, (ct)
GT,RG,, (ct)
GT,OG,, (ct)
GT,OO,, (ct)
IC,SLW,, (ct)
IC,MSW,, (ct)
GT,OTH,, (ct)
IC,OTH,, (ct)
IC,OG,, (ct)
OT,OT,, (other)
OT,OTH,, (other)
OT,WH,, (other)
OT,OG,, (other)
OT,BFG,, (other)
ST,LPG,, (steam)
ST,BFG,, (steam)
CH,MF,, (steam)
ST,MF,, (steam)
ST,MSW,, (steam)
ST,WH,, (steam)
ST,BLQ,, (steam)
ST,OG,, (steam)
ST,TDF,, (steam)
ST,OTH,, (steam)
ST,PUR,, (steam)
ST,SLW,, (steam)
BA,MWH,, (storage)
FW,MWH,, (storage)
ST,WD,biomass,biomass (conv)
ST,REF,biomass,biomass (conv)
AB,WD,biomass,biomass (conv)
CH,WD,biomass,biomass (conv)
OT,REF,biomass,biomass (conv)
IC,REF,biomass,biomass (conv)
ST,WDS,biomass,biomass (conv)
ST,AB,biomass,biomass (conv)
ST,WDL,biomass,biomass (conv)
OT,WDS,biomass,biomass (conv)
ST,OBS,biomass,biomass (conv)
CA,WDS,biomass,biomass (conv)
CW,BIT,coal,coal (cc)
CA,BIT,coal,coal (cc)
CT,BIT,coal,coal (cc)
CC,BIT,coal,coal (cc)
AB,LIG,coal,coal (ct)
AB,BIT,coal,coal (ct)
AB,WC,coal,coal (ct)
AB,SUB,coal,coal (ct)
GT,PC,coal,coal (ct)
IG,BIT,coal,coal (igcc)
OT,SUB,coal,coal (other)
OT,PC,coal,coal (other)
ST,BIT,coal,coal (steam)
ST,SUB,coal,coal (steam)
ST,LIG,coal,coal (steam)
ST,ANT,coal,coal (steam)
ST,PC,coal,coal (steam)
CH,BIT,coal,coal (steam)
CH,SUB,coal,coal (steam)
CH,ANT,coal,coal (steam)
CH,WC,coal,coal (steam)
ST,WC,coal,coal (steam)
ST,SC,coal,coal (steam)
ST,RC,coal,coal (steam)
